12/Dec/2020|01:48:56| |UpdateShop 
 - 12/Dec/2020|01:49:00| |UpdateShop 
 - 12/Dec/2020|01:50:11| |UpdateShop 
 - 12/Dec/2020|01:50:33| |UpdateShop 
 - 12/Dec/2020|01:51:23| |UpdateShop 
 - 12/Dec/2020|01:52:20| |UpdateShop 
 - 12/Dec/2020|02:22:33| |CreateStaff 
 - 12/Dec/2020|02:23:31| |CreateStaff 
 - 12/Dec/2020|02:41:49| |UpdateStaff 
 - 12/Dec/2020|02:42:10| |UpdateStaff 
 - 12/Dec/2020|02:42:26| |UpdateStaff 
 - 12/Dec/2020|02:42:27| |UpdateStaff 
 - 12/Dec/2020|02:42:27| |UpdateStaff 
 - 12/Dec/2020|02:42:28| |UpdateStaff 
 - 12/Dec/2020|02:42:29| |UpdateStaff 
 - 12/Dec/2020|02:43:34| |UpdateStaff 
 - 12/Dec/2020|02:43:34| |UpdateStaff 
 - 12/Dec/2020|13:04:05| |UpdateShop 
 - 12/Dec/2020|13:06:22| |UpdateShop 
 - 12/Dec/2020|13:40:53| |UpdateShop 
 - 12/Dec/2020|13:47:32| |UpdateShop 
 - 12/Dec/2020|15:48:53| |CreateCustomer 
 - 12/Dec/2020|16:44:55| |UpdateCustomer 
 - 12/Dec/2020|16:45:01| |UpdateCustomer 
 - 12/Dec/2020|18:05:19| |CreateStaff 
 - 12/Dec/2020|18:14:29| |CreateStaff 
 - 12/Dec/2020|18:30:47| |UpdateDevice 
 - 12/Dec/2020|18:34:17| |UpdateDevice 
 - 15/Dec/2020|01:36:48|test001|CreateStaff 
 - 17/Dec/2020|15:20:32|test001|CreateStaff 
 - 17/Dec/2020|15:20:35|test001|UpdateStaff 
 - 17/Dec/2020|15:21:25|test001|UpdateStaff 
 - 17/Dec/2020|15:35:17|test001|CreateCustomer 
 - 17/Dec/2020|18:27:34|test001|UpdateStaff 
 - 17/Dec/2020|18:52:10|test001|UpdateStaff 
 - 17/Dec/2020|19:06:25|test001|UpdateStaff_29  
 - 17/Dec/2020|19:06:46|test001|UpdateStaff_29  
 - 17/Dec/2020|19:07:37|test001|UpdateStaff_29  
 - 17/Dec/2020|19:07:42|test001|UpdateStaff_29  
 - 17/Dec/2020|19:46:24|test001|CreateDevice_2 
 - 17/Dec/2020|19:50:39|test001|CreateDevice_2 
 - 17/Dec/2020|19:53:39|test001|CreateDevice_2 
 - 18/Dec/2020|18:34:16|test001|UpdateStaff 
